obs,sim
169.45418059531355,166.74294155314072
172.56504149846955,171.00573533056465
174.75004995500797,175.80273783261566
177.4007785145268,178.3463442042925
179.5085751230679,177.20522466320514
180.52279495793434,177.2817891858366
181.08881029293315,180.19831307683324
181.35851983646467,181.49971640155565
182.20565524138865,182.5073211042896
183.45480934620633,183.56257558935818
186.3200001308166,186.72898173826735
187.8880979620581,187.83459001302515
188.40076876514664,188.83911177167025
187.8089148535204,189.89420810503705
187.45396317491773,189.93608485285506
186.49952017698502,188.21198331338516
184.91372344715649,186.48788176793295
182.8255443114475,183.44174583184144
180.8010022959368,180.0290601968593
178.83982355588623,176.65327554246733
176.32785849831947,172.62820731565887
174.6359574553933,172.10207321677763
173.38148545427347,171.67419178232427
171.83424370075272,170.5678538539119
169.74449601590902,166.19495727994342
167.34934216538556,163.87288784166273
164.78286645048738,161.61168279732343
161.81696571123007,157.03110619230645
158.51541140501902,154.15382593690515
155.7789655798723,151.05318973664194
153.30795532511877,148.42995884158222
150.92867661364994,147.17018485143194
149.1357184764423,146.01201104570586
147.10111674956056,142.39448513621682
145.21666774874208,142.14639866047128
143.1792193983627,139.90923749318077
140.3469941096584,142.6222779563017
153.6774617756315,150.34158424242003
154.9276331702591,152.2166104944479
155.6936084068947,153.121133103739
156.0737217186337,154.02565572008686
156.17749253616805,154.48924715908868
156.54919820077063,153.6580103234506
157.12494603009762,152.86255415247527
157.502691790734,155.62656003749586
157.79951015997358,155.6799445704422
158.13593350239935,154.60343333352782
158.50031958901124,154.44488637194277
158.79898908136153,155.3279857193401
159.05696446456957,156.23242674298723
158.79557478418167,155.20048984009102
158.50367274757474,155.9565474691185
157.760910699875,154.61202865990631
156.76331823746122,151.72550279216148
155.00386248386278,150.99374267542518
153.30712508516226,150.1503340742897
152.14226012808646,149.31253473598
151.74527617383015,149.6000461854962
152.04048878014402,148.5662680150563
152.08333310649166,149.52118877172865
151.95940809392812,149.6879228154806
151.44433654059156,147.70784538482695
150.70095576645176,146.01450351856252
149.62458191447357,146.60045713521416
